platform	state	file	pixels	sha256	serial	model	os_version	api_level	display_id	display_size	density	app_bounds	system_insets	font_scale	locale	timezone	theme/night_mode	orientation	fixture	package_version	build_revision
android	home	home.png	822x1918	8c65947f18916223263d8d6929bce5c9098c76f8f0c2fefb1b20c8406781d9ab	192.168.0.199:36489	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=home	0.4.1	00eea928f73163a61e9bbad6d017d5c4052e8427+dirty
android	region	region.png	822x1918	7bf7165e29a9c37fdd31010d35e5e4336be37c3d1ec56ea1e9d2cef5b1e03d1c	192.168.0.199:36489	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=region	0.4.1	00eea928f73163a61e9bbad6d017d5c4052e8427+dirty
android	region-search	region-search.png	822x1918	d061af7bc33576c8cbf568a7c6d5ac449e71bf44d77548adaa6bd0cb863aab09	192.168.0.199:36489	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=region-search	0.4.1	00eea928f73163a61e9bbad6d017d5c4052e8427+dirty
android	loading	loading.png	822x1918	8d28f15b6aaa2d09262c28b2222fb9cdc7571a227fe26c5385223a8f741b518b	192.168.0.199:36489	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=loading	0.4.1	00eea928f73163a61e9bbad6d017d5c4052e8427+dirty
android	results	results.png	822x1918	cc81bbe74268f7eb226a358a8031c9ff887502d7b78efc9ad745548a0ef284aa	192.168.0.199:36489	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=results	0.4.1	00eea928f73163a61e9bbad6d017d5c4052e8427+dirty
android	decision	decision.png	822x1918	9ee125a3c46b9b1295c23fcb8d89a59660961ffaaeeec9dcb6f845523f99bb12	192.168.0.199:36489	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=decision	0.4.1	00eea928f73163a61e9bbad6d017d5c4052e8427+dirty
android	decision-recorded	decision-recorded.png	822x1918	2a9dfc64101b83efed2ad61964ca923ac1cff85aa46d9e0cf1cc4638af3941eb	192.168.0.199:36489	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=decision-recorded	0.4.1	00eea928f73163a61e9bbad6d017d5c4052e8427+dirty
android	history-empty	history-empty.png	822x1918	83a2f6e2f636ace886bf79077a801d0220f6f79d45784c2558572590f8b00bfb	192.168.0.199:36489	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=history-empty	0.4.1	00eea928f73163a61e9bbad6d017d5c4052e8427+dirty
android	history-populated	history-populated.png	822x1918	d4181f553dfd9bf84eb247b1ca5777b2b724bccad4273b1f29dc8f7933eb3768	192.168.0.199:36489	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=history-populated	0.4.1	00eea928f73163a61e9bbad6d017d5c4052e8427+dirty
android	favorites-empty	favorites-empty.png	822x1918	18cc1383f91dc13ee227fa4d0f13331a8d022823c185378572b8d4d3fbb5e2a6	192.168.0.199:36489	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=favorites-empty	0.4.1	00eea928f73163a61e9bbad6d017d5c4052e8427+dirty
