platform	state	file	pixels	sha256	device	udid	os_version	app_bounds	system_insets	locale	timezone	theme	fixture	app_version	build	build_revision
ios	decision-recorded	matchup/decision-recorded.png	1206x2622	a9a218a549cc55b83acfe2c764e09d9e14f4764933f0396813a8d5e25887876a	iPhone 17 Pro	132824B1-7FCD-47B8-BA57-7E120AE6F822	iOS 26.5	402x874pt	unavailable	ko-KR	Asia/Seoul	light	-matchup-state decision-recorded	0.3.0	202608241540	730e95a5ac5293fa6a6c659ec6facf0aed912df8
ios	decision	matchup/decision.png	1206x2622	e52aaf8522ce53a41eda5ef41e26a4d0859d9833effdcf6197cb738cc7041c65	iPhone 17 Pro	132824B1-7FCD-47B8-BA57-7E120AE6F822	iOS 26.5	402x874pt	unavailable	ko-KR	Asia/Seoul	light	-matchup-state decision	0.3.0	202608241540	730e95a5ac5293fa6a6c659ec6facf0aed912df8
ios	favorites-empty	matchup/favorites-empty.png	1206x2622	1a34ad83ce63aa8a25a0f62dd24ed3b09f6601299820c4657c6f93071535cdda	iPhone 17 Pro	132824B1-7FCD-47B8-BA57-7E120AE6F822	iOS 26.5	402x874pt	unavailable	ko-KR	Asia/Seoul	light	-matchup-state favorites-empty	0.3.0	202608241540	730e95a5ac5293fa6a6c659ec6facf0aed912df8
ios	favorites-populated	matchup/favorites-populated.png	1206x2622	af0ff75d37fc6c7b6316aa1a04a4e101443151f354c40429f54da8cb0aff5d71	iPhone 17 Pro	132824B1-7FCD-47B8-BA57-7E120AE6F822	iOS 26.5	402x874pt	unavailable	ko-KR	Asia/Seoul	light	-matchup-state favorites-populated	0.3.0	202608241540	730e95a5ac5293fa6a6c659ec6facf0aed912df8
ios	history-empty	matchup/history-empty.png	1206x2622	a98a4c9e9d2a00019506274748fdc47e325e944e39bb66f9d06a10ef2ecafe35	iPhone 17 Pro	132824B1-7FCD-47B8-BA57-7E120AE6F822	iOS 26.5	402x874pt	unavailable	ko-KR	Asia/Seoul	light	-matchup-state history-empty	0.3.0	202608241540	730e95a5ac5293fa6a6c659ec6facf0aed912df8
ios	history-populated	matchup/history-populated.png	1206x2622	c50c384dcb8bd8f2a798775d4c8b682f2a98cc436838c91ea257f43f6f32eb53	iPhone 17 Pro	132824B1-7FCD-47B8-BA57-7E120AE6F822	iOS 26.5	402x874pt	unavailable	ko-KR	Asia/Seoul	light	-matchup-state history-populated	0.3.0	202608241540	730e95a5ac5293fa6a6c659ec6facf0aed912df8
ios	home	matchup/home.png	1206x2622	0af7d7873922a8a33a0a1e50b915454838ad2b0f9a87638b7103964bb1d1a4c5	iPhone 17 Pro	132824B1-7FCD-47B8-BA57-7E120AE6F822	iOS 26.5	402x874pt	unavailable	ko-KR	Asia/Seoul	light	-matchup-state home	0.3.0	202608241540	730e95a5ac5293fa6a6c659ec6facf0aed912df8
ios	loading	matchup/loading.png	1206x2622	f7df606178e2f4e97e957651f807c05e0fc8333b36b67730c170205d362ecb4f	iPhone 17 Pro	132824B1-7FCD-47B8-BA57-7E120AE6F822	iOS 26.5	402x874pt	unavailable	ko-KR	Asia/Seoul	light	-matchup-state loading	0.3.0	202608241540	730e95a5ac5293fa6a6c659ec6facf0aed912df8
ios	region-search	matchup/region-search.png	1206x2622	7e11c3a509921e5e2fccf2b435e19acf376a101b22f820558c1691befcbda1a6	iPhone 17 Pro	132824B1-7FCD-47B8-BA57-7E120AE6F822	iOS 26.5	402x874pt	unavailable	ko-KR	Asia/Seoul	light	-matchup-state region-search	0.3.0	202608241540	730e95a5ac5293fa6a6c659ec6facf0aed912df8
ios	region	matchup/region.png	1206x2622	32f7b12eb98122b408200b330041978e8dfafd1b448f6ed5808c5ae874fcbd32	iPhone 17 Pro	132824B1-7FCD-47B8-BA57-7E120AE6F822	iOS 26.5	402x874pt	unavailable	ko-KR	Asia/Seoul	light	-matchup-state region	0.3.0	202608241540	730e95a5ac5293fa6a6c659ec6facf0aed912df8
ios	results	matchup/results.png	1206x2622	13339e9c4e0a99c026e9a66a1a1f31c8445ddc64c61c1c7e3f63dcf7a0730949	iPhone 17 Pro	132824B1-7FCD-47B8-BA57-7E120AE6F822	iOS 26.5	402x874pt	unavailable	ko-KR	Asia/Seoul	light	-matchup-state results	0.3.0	202608241540	730e95a5ac5293fa6a6c659ec6facf0aed912df8
ios	settings	matchup/settings.png	1206x2622	768b691d41d279f5f623abc74f0562e8f81ec8e3dee7b98e62111e5dc155bb46	iPhone 17 Pro	132824B1-7FCD-47B8-BA57-7E120AE6F822	iOS 26.5	402x874pt	unavailable	ko-KR	Asia/Seoul	light	-matchup-state settings	0.3.0	202608241540	730e95a5ac5293fa6a6c659ec6facf0aed912df8
